Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
3551495	98451000000109	Commonwealth of (Russian) Independent States - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551496	98461000000107	Kosovan - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551497	98471000000100	Albanian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551498	98481000000103	Croatian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551499	98491000000101	Serbian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551500	98501000000107	Other republics which made up the former Yugoslavia - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551501	98511000000109	Mixed Irish and other White - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551502	98521000000103	Other White European or European unspecified or Mixed European - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551503	98531000000101	Other mixed White - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551504	98541000000105	Other White or White unspecified - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551505	98551000000108	White and Black Caribbean - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551506	98561000000106	White and Black African - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551507	98571000000104	White and Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551508	98581000000102	Other Mixed background - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551509	98591000000100	Black and Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551510	98601000000106	Black and Chinese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551511	98611000000108	Black and White - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551512	98621000000102	Chinese and White - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551513	98631000000100	Asian and Chinese - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551514	98641000000109	Other Mixed or Mixed unspecified - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551515	98651000000107	Indian or British Indian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551516	98661000000105	Pakistani or British Pakistani - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551517	98671000000103	Bangladeshi or British Bangladeshi - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551518	98681000000101	Other Asian background - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551519	98691000000104	Kashmiri - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
3551520	98701000000104	East African Asian - ethnic category 2001 census	Clinical Finding	Race	SNOMED	Invalid	Non-standard
